sku,nombre,tipo,wc_stock,wc_status,inv_stock,nuevo_status,diferencia,wc_price,inv_price,price_change,cambiara
812135021665,XTEND ORIGINAL 90 SERV. ITALIAN BLOOD ORANGE,variation,6,outofstock,6,outofstock,0,59.99,59.99,no,no
810121055755,AMINO K.E.N CRAN BERRY POMEGRANATE- EVOGEN,variation,1,outofstock,1,outofstock,0,45.99,45.99,no,no
810121056714,ISOJECT CHURRO 1.71 LBS ISOJET EVOGEN,variation,0,outofstock,0,outofstock,0,58.99,58.99,no,no
817189028257,EVP 3D BLUEBERRY APPLE-EVOGEN,variation,10,instock,10,instock,0,49.99,49.99,no,no
860007286902,CBUM PROTEINA  ISOLATADA 2 LBS VAINILLA OATMEAL COOKIES,variation,0,outofstock,0,outofstock,0,54.99,54.99,no,no
810121054000,EVP EXTREME N.O. VICTORY PUNCH-EVOGEN,variation,0,outofstock,0,outofstock,0,49.99,49.99,no,no
810390028320,ALPHA AMINO 30 SERV. FRUIT PUNCH CELLUCOR,variation,5,outofstock,5,outofstock,0,29.99,29.99,no,no
810121055113,VITAMIN D3 EVOGEN,simple,30,instock,30,instock,0,19.99,19.99,no,no
850044753833,PROTEINA DE 4.8 LB COOKIE & CREAM PRIMEVAL LABS,variation,36,instock,36,instock,0,74.99,74.99,no,no
817189024532,AMINO K.E.M SOUR WATERMELON- EVOGEN,variation,3,outofstock,3,outofstock,0,45.99,45.99,no,no
631656716962,MASS TECH EXTREME 2000-6 LBS TRIPLE CHOCOLATE BROWNIE,variation,13,instock,13,instock,0,52.99,52.99,no,no
65007665240,VMS-PROTEIN ISOLATE -HIDROLIZED BIO-ACTIVE VAINILLA 5 LBS,variation,17,instock,17,instock,0,95.99,95.99,no,no
817189025386,EVP 3D SOUR WATERMELON- EVOGEN,variation,6,outofstock,6,outofstock,0,49.99,49.99,no,no
748927060140,GOLD STANDAR WHEY DOBLE RICH 1.47 LBS 22 SERVING,variation,0,outofstock,0,outofstock,0,35.99,35.99,no,no
810014673165,CHROMIO PICOLINATE 10000 MG 240 CAPSULAS,simple,1,outofstock,1,outofstock,0,22.99,22.99,no,no
817189024600,EVP-3D TROPIC THUNDER-EVOGEN,variation,4,outofstock,4,outofstock,0,49.99,49.99,no,no
850057175356,CBUM-ITHOLATE-PROTEIN-VANILLA-OA TMEAL COOKIE - 5LB (ISOLATADA),variation,0,outofstock,0,outofstock,0,99.99,99.99,no,no
810121056455,ISOJECT MINI CRISPY COOKIES 1.87 LBS EVOGEN,variation,2,outofstock,2,outofstock,0,58.99,58.99,no,no
713101732007,PROLIVE BIO5 SUNDEY CARAMEL DE 6 LB IMPULSE,variation,49,instock,49,instock,0,106.99,115.99,SI,SI
810121053232,GLYCOJECT DE 2LB STRAWBERRY LEMONADE EVOGEN,variation,8,instock,8,instock,0,54.99,54.99,no,no
7503029523005,CELL K.E.M PR V.2 TROPIC THUNDER -EVOGEN,variation,16,instock,16,instock,0,54.99,54.99,no,no
